dataset,degree,tier,n,pct
MIMIC,first-degree,High,1018,10.6
MIMIC,first-degree,Intermediate,3597,37.5
MIMIC,first-degree,Low,2821,29.4
MIMIC,first-degree,Unclassified,2145,22.4
MIMIC,second-degree,High,12695,10.7
MIMIC,second-degree,Intermediate,46737,39.3
MIMIC,second-degree,Low,40232,33.8
MIMIC,second-degree,Unclassified,19240,16.2
UK-Biobank,first-degree,High,2101,17.8
UK-Biobank,first-degree,Intermediate,5114,43.3
UK-Biobank,first-degree,Low,2039,17.3
UK-Biobank,first-degree,Unclassified,2549,21.6
UK-Biobank,second-degree,High,29744,14.0
UK-Biobank,second-degree,Intermediate,99497,46.8
UK-Biobank,second-degree,Low,73852,34.7
UK-Biobank,second-degree,Unclassified,9644,4.5
OpenSAFELY,first-degree,High,614,9.8
OpenSAFELY,first-degree,Intermediate,2626,42.0
OpenSAFELY,first-degree,Low,2206,35.3
OpenSAFELY,first-degree,Unclassified,810,12.9
OpenSAFELY,second-degree,High,12266,9.9
OpenSAFELY,second-degree,Intermediate,54588,43.9
OpenSAFELY,second-degree,Low,52967,42.6
OpenSAFELY,second-degree,Unclassified,4464,3.6
All-of-Us,first-degree,High,471,22.8
All-of-Us,first-degree,Intermediate,636,30.8
All-of-Us,first-degree,Low,515,24.9
All-of-Us,first-degree,Unclassified,444,21.5
All-of-Us,second-degree,High,4715,16.0
All-of-Us,second-degree,Intermediate,12101,41.1
All-of-Us,second-degree,Low,11036,37.4
All-of-Us,second-degree,Unclassified,1618,5.5
