year,citation_count,cumulative_citations,dataset,doi,openalex_id
2012,4,4,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2013,7,11,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2014,7,18,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2015,12,30,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2016,10,40,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2017,11,51,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2018,9,60,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2019,13,73,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2020,27,100,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2021,24,124,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2022,13,137,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2023,14,151,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2024,10,161,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2025,13,174,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2019,1,1,OpenSAFELY,10.1038/s41586-020-2521-4,https://openalex.org/W3047144258
2020,774,775,OpenSAFELY,10.1038/s41586-020-2521-4,https://openalex.org/W3047144258
2021,2164,2939,OpenSAFELY,10.1038/s41586-020-2521-4,https://openalex.org/W3047144258
2022,1511,4450,OpenSAFELY,10.1038/s41586-020-2521-4,https://openalex.org/W3047144258
2023,971,5421,OpenSAFELY,10.1038/s41586-020-2521-4,https://openalex.org/W3047144258
2024,796,6217,OpenSAFELY,10.1038/s41586-020-2521-4,https://openalex.org/W3047144258
2025,296,6513,OpenSAFELY,10.1038/s41586-020-2521-4,https://openalex.org/W3047144258
2026,12,6525,OpenSAFELY,10.1038/s41586-020-2521-4,https://openalex.org/W3047144258
2012,12,12,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2013,11,23,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2014,24,47,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2015,24,71,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2016,19,90,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2017,11,101,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2018,12,113,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2019,14,127,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2020,12,139,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2021,9,148,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2022,16,164,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2023,12,176,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2024,7,183,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2025,9,192,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2012,1,1,MIMIC-IV,10.1038/s41597-022-01899-x,https://openalex.org/W4313439128
2023,192,193,MIMIC-IV,10.1038/s41597-022-01899-x,https://openalex.org/W4313439128
2024,769,962,MIMIC-IV,10.1038/s41597-022-01899-x,https://openalex.org/W4313439128
2025,1152,2114,MIMIC-IV,10.1038/s41597-022-01899-x,https://openalex.org/W4313439128
2026,52,2166,MIMIC-IV,10.1038/s41597-022-01899-x,https://openalex.org/W4313439128
2012,1,1,UK-Biobank,10.1371/journal.pmed.1001779,https://openalex.org/W2082704080
2014,2,3,UK-Biobank,10.1371/journal.pmed.1001779,https://openalex.org/W2082704080
2015,26,29,UK-Biobank,10.1371/journal.pmed.1001779,https://openalex.org/W2082704080
