year,citation_count,cumulative_citations,dataset,doi,openalex_id
2012,1,1,All-of-Us,10.1056/NEJMsr1809937,https://openalex.org/W4205170775
2017,2,3,All-of-Us,10.1056/NEJMsr1809937,https://openalex.org/W4205170775
2019,22,25,All-of-Us,10.1056/NEJMsr1809937,https://openalex.org/W4205170775
2020,122,147,All-of-Us,10.1056/NEJMsr1809937,https://openalex.org/W4205170775
2021,184,331,All-of-Us,10.1056/NEJMsr1809937,https://openalex.org/W4205170775
2022,261,592,All-of-Us,10.1056/NEJMsr1809937,https://openalex.org/W4205170775
2023,342,934,All-of-Us,10.1056/NEJMsr1809937,https://openalex.org/W4205170775
2024,511,1445,All-of-Us,10.1056/NEJMsr1809937,https://openalex.org/W4205170775
2025,596,2041,All-of-Us,10.1056/NEJMsr1809937,https://openalex.org/W4205170775
2026,35,2076,All-of-Us,10.1056/NEJMsr1809937,https://openalex.org/W4205170775
