year,citation_count,cumulative_citations,dataset,doi,openalex_id
2014,1,1,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2016,24,25,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2017,132,157,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2018,329,486,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2019,600,1086,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2020,941,2027,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2021,1167,3194,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2022,1131,4325,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2023,1143,5468,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2024,1083,6551,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2025,1003,7554,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
2026,49,7603,MIMIC-III,10.1038/sdata.2016.35,https://openalex.org/W2396881363
