dataset,year,citation_count,source
MIMIC-I,1997,2,google_scholar
MIMIC-I,1998,1,google_scholar
MIMIC-I,1999,2,google_scholar
MIMIC-I,2000,4,google_scholar
MIMIC-I,2001,4,google_scholar
MIMIC-I,2002,4,google_scholar
MIMIC-I,2003,3,google_scholar
MIMIC-I,2004,7,google_scholar
MIMIC-I,2005,5,google_scholar
MIMIC-I,2006,10,google_scholar
MIMIC-I,2007,12,google_scholar
MIMIC-I,2008,3,google_scholar
MIMIC-I,2009,9,google_scholar
MIMIC-I,2010,10,google_scholar
MIMIC-I,2011,12,google_scholar
MIMIC-I,2012,7,google_scholar
MIMIC-I,2013,9,google_scholar
MIMIC-I,2014,7,google_scholar
MIMIC-I,2015,13,google_scholar
MIMIC-I,2016,18,google_scholar
MIMIC-I,2017,25,google_scholar
MIMIC-I,2018,14,google_scholar
MIMIC-I,2019,17,google_scholar
MIMIC-I,2020,30,google_scholar
MIMIC-I,2021,29,google_scholar
MIMIC-I,2022,24,google_scholar
MIMIC-I,2023,27,google_scholar
MIMIC-I,2024,23,google_scholar
MIMIC-I,2025,23,google_scholar
MIMIC-II,2003,2,google_scholar
MIMIC-II,2004,8,google_scholar
MIMIC-II,2005,10,google_scholar
MIMIC-II,2006,10,google_scholar
MIMIC-II,2007,15,google_scholar
MIMIC-II,2008,11,google_scholar
MIMIC-II,2009,11,google_scholar
MIMIC-II,2010,15,google_scholar
MIMIC-II,2011,11,google_scholar
MIMIC-II,2012,22,google_scholar
MIMIC-II,2013,20,google_scholar
MIMIC-II,2014,21,google_scholar
MIMIC-II,2015,24,google_scholar
MIMIC-II,2016,26,google_scholar
MIMIC-II,2017,15,google_scholar
MIMIC-II,2018,18,google_scholar
MIMIC-II,2019,16,google_scholar
MIMIC-II,2020,23,google_scholar
MIMIC-II,2021,20,google_scholar
MIMIC-II,2022,15,google_scholar
MIMIC-II,2023,19,google_scholar
MIMIC-II,2024,21,google_scholar
MIMIC-III,2016,24,google_scholar
MIMIC-III,2017,147,google_scholar
MIMIC-III,2018,428,google_scholar
MIMIC-III,2019,650,google_scholar
MIMIC-III,2020,960,google_scholar
MIMIC-III,2021,1260,google_scholar
MIMIC-III,2022,1440,google_scholar
MIMIC-III,2023,1510,google_scholar
MIMIC-III,2024,1595,google_scholar
MIMIC-IV,2022,2,google_scholar
MIMIC-IV,2023,173,google_scholar
MIMIC-IV,2024,799,google_scholar
UK-Biobank,2015,18,google_scholar
UK-Biobank,2016,98,google_scholar
UK-Biobank,2017,238,google_scholar
UK-Biobank,2018,462,google_scholar
UK-Biobank,2019,693,google_scholar
UK-Biobank,2020,921,google_scholar
UK-Biobank,2021,1257,google_scholar
UK-Biobank,2022,1596,google_scholar
UK-Biobank,2023,1902,google_scholar
UK-Biobank,2024,2397,google_scholar
OpenSAFELY,2019,332,google_scholar
OpenSAFELY,2020,2100,google_scholar
OpenSAFELY,2021,1693,google_scholar
OpenSAFELY,2022,1109,google_scholar
OpenSAFELY,2023,731,google_scholar
OpenSAFELY,2024,288,google_scholar
All-of-Us,2018,1,google_scholar
All-of-Us,2019,21,google_scholar
All-of-Us,2020,108,google_scholar
All-of-Us,2021,175,google_scholar
All-of-Us,2022,222,google_scholar
All-of-Us,2023,325,google_scholar
All-of-Us,2024,454,google_scholar
