Dataset,Position,HIC Male,HIC Female,HIC Female %,LMIC Male,LMIC Female,LMIC Female %,Total Identified,LMIC Female % of All,HIC Male % of All
MIMIC,First,3261,1400,30.0,2287,1310,36.4,8258,15.9,39.5
MIMIC,Middle,12423,5089,29.1,8160,5081,38.4,30753,16.5,40.4
MIMIC,Last,3526,1109,23.9,2233,1044,31.9,7912,13.2,44.6
UK-Biobank,First,4424,3048,40.8,1709,1384,44.7,10565,13.1,41.9
UK-Biobank,Middle,43885,26271,37.4,11842,9582,44.7,91580,10.5,47.9
UK-Biobank,Last,5130,2145,29.5,1700,926,35.3,9901,9.4,51.8
OpenSAFELY,First,2392,1777,42.6,630,542,46.2,5341,10.1,44.8
OpenSAFELY,Middle,22768,16606,42.2,4160,3653,46.8,47187,7.7,48.3
OpenSAFELY,Last,2507,1325,34.6,667,400,37.5,4899,8.2,51.2
All-of-Us,First,983,745,43.1,45,30,40.0,1803,1.7,54.5
All-of-Us,Middle,8402,6500,43.6,366,281,43.4,15549,1.8,54.0
All-of-Us,Last,1001,611,37.9,26,24,48.0,1662,1.4,60.2
