Dataset,Position,Total,Male,Female,Female %,HIC,LMIC,LMIC %
MIMIC,First,9913,6604,3156,32.3,4710,3666,43.8
MIMIC,Middle,38256,25414,12371,32.7,17665,13395,43.1
MIMIC,Last,9544,6849,2586,27.4,4681,3320,41.5
UK-Biobank,First,11782,6735,4927,42.2,7529,3139,29.4
UK-Biobank,Middle,102986,62322,39914,39.0,70542,21672,23.5
UK-Biobank,Last,11347,7743,3521,31.3,7301,2661,26.7
OpenSAFELY,First,6156,3449,2603,43.0,4222,1192,22.0
OpenSAFELY,Middle,58103,33025,24209,42.3,39736,7936,16.6
OpenSAFELY,Last,5784,3710,1960,34.6,3879,1088,21.9
All-of-Us,First,2062,1172,874,42.7,1738,75,4.1
All-of-Us,Middle,17491,9746,7609,43.8,15010,656,4.2
All-of-Us,Last,1930,1200,722,37.6,1618,50,3.0
